"fengadays","sex","intwt"
157,0,500
158,0,510
159,0,520
159,0,530
160,0,540
161,0,550
162,0,560
162,0,570
163,0,580
164,0,590
164,0,600
165,0,610
166,0,620
167,0,630
167,0,640
168,0,650
169,0,660
169,0,670
170,0,680
171,0,690
171,0,700
172,0,710
173,0,720
173,0,730
174,0,740
174,0,750
175,0,760
176,0,770
176,0,780
177,0,790
178,0,800
178,0,810
179,0,820
179,0,830
180,0,840
181,0,850
181,0,860
182,0,870
182,0,880
183,0,890
183,0,900
184,0,910
185,0,920
185,0,930
186,0,940
186,0,950
187,0,960
187,0,970
188,0,980
189,0,990
189,0,1000
190,0,1010
190,0,1020
191,0,1030
191,0,1040
192,0,1050
192,0,1060
193,0,1070
193,0,1080
194,0,1090
194,0,1100
195,0,1110
195,0,1120
196,0,1130
196,0,1140
197,0,1150
197,0,1160
198,0,1170
198,0,1180
199,0,1190
199,0,1200
200,0,1210
200,0,1220
201,0,1230
201,0,1240
202,0,1250
202,0,1260
203,0,1270
203,0,1280
204,0,1290
204,0,1300
205,0,1310
205,0,1320
206,0,1330
206,0,1340
206,0,1350
207,0,1360
207,0,1370
208,0,1380
208,0,1390
209,0,1400
209,0,1410
210,0,1420
210,0,1430
210,0,1440
211,0,1450
211,0,1460
212,0,1470
212,0,1480
213,0,1490
213,0,1500
213,0,1510
214,0,1520
214,0,1530
215,0,1540
215,0,1550
215,0,1560
216,0,1570
216,0,1580
216,0,1590
217,0,1600
217,0,1610
218,0,1620
218,0,1630
218,0,1640
219,0,1650
219,0,1660
220,0,1670
220,0,1680
220,0,1690
221,0,1700
221,0,1710
221,0,1720
222,0,1730
222,0,1740
222,0,1750
223,0,1760
223,0,1770
223,0,1780
224,0,1790
224,0,1800
225,0,1810
225,0,1820
225,0,1830
226,0,1840
226,0,1850
226,0,1860
227,0,1870
227,0,1880
227,0,1890
228,0,1900
228,0,1910
228,0,1920
229,0,1930
229,0,1940
229,0,1950
230,0,1960
230,0,1970
230,0,1980
231,0,1990
231,0,2000
231,0,2010
232,0,2020
232,0,2030
232,0,2040
233,0,2050
233,0,2060
233,0,2070
234,0,2080
234,0,2090
234,0,2100
235,0,2110
235,0,2120
235,0,2130
236,0,2140
236,0,2150
236,0,2160
237,0,2170
237,0,2180
237,0,2190
238,0,2200
238,0,2210
239,0,2220
239,0,2230
239,0,2240
239,0,2250
240,0,2260
240,0,2270
240,0,2280
241,0,2290
241,0,2300
241,0,2310
242,0,2320
242,0,2330
242,0,2340
243,0,2350
243,0,2360
243,0,2370
244,0,2380
244,0,2390
244,0,2400
245,0,2410
245,0,2420
245,0,2430
246,0,2440
246,0,2450
246,0,2460
247,0,2470
247,0,2480
247,0,2490
247,0,2500
248,0,2510
248,0,2520
248,0,2530
249,0,2540
249,0,2550
249,0,2560
250,0,2570
250,0,2580
250,0,2590
251,0,2600
251,0,2610
251,0,2620
251,0,2630
252,0,2640
252,0,2650
252,0,2660
253,0,2670
253,0,2680
253,0,2690
254,0,2700
254,0,2710
254,0,2720
255,0,2730
255,0,2740
255,0,2750
255,0,2760
256,0,2770
256,0,2780
256,0,2790
257,0,2800
257,0,2810
257,0,2820
258,0,2830
258,0,2840
258,0,2850
258,0,2860
259,0,2870
259,0,2880
259,0,2890
260,0,2900
260,0,2910
260,0,2920
261,0,2930
261,0,2940
261,0,2950
262,0,2960
262,0,2970
262,0,2980
262,0,2990
263,0,3000
263,0,3010
263,0,3020
264,0,3030
264,0,3040
