fengadays,sex,intwt
157,0,510
157,0,520
157,0,530
158,0,540
159,0,550
160,0,560
161,0,570
162,0,580
163,0,590
164,0,600
164,0,610
165,0,620
166,0,630
167,0,640
168,0,650
169,0,660
169,0,670
170,0,680
171,0,690
172,0,700
173,0,710
173,0,720
174,0,730
175,0,740
175,0,750
176,0,760
177,0,770
178,0,780
178,0,790
179,0,800
180,0,810
180,0,820
181,0,830
182,0,840
182,0,850
183,0,860
184,0,870
184,0,880
185,0,890
186,0,900
186,0,910
187,0,920
187,0,930
188,0,940
189,0,950
189,0,960
190,0,970
190,0,980
191,0,990
192,0,1000
192,0,1010
193,0,1020
193,0,1030
194,0,1040
194,0,1050
195,0,1060
195,0,1070
196,0,1080
196,0,1090
197,0,1100
197,0,1110
198,0,1120
198,0,1130
199,0,1140
199,0,1150
200,0,1160
200,0,1170
201,0,1180
201,0,1190
202,0,1200
202,0,1210
203,0,1220
203,0,1230
204,0,1240
204,0,1250
204,0,1260
205,0,1270
205,0,1280
206,0,1290
206,0,1300
207,0,1310
207,0,1320
208,0,1330
208,0,1340
208,0,1350
209,0,1360
209,0,1370
210,0,1380
210,0,1390
210,0,1400
211,0,1410
211,0,1420
212,0,1430
212,0,1440
212,0,1450
213,0,1460
213,0,1470
213,0,1480
214,0,1490
214,0,1500
215,0,1510
215,0,1520
215,0,1530
216,0,1540
216,0,1550
216,0,1560
217,0,1570
217,0,1580
217,0,1590
218,0,1600
218,0,1610
218,0,1620
219,0,1630
219,0,1640
219,0,1650
220,0,1660
220,0,1670
220,0,1680
221,0,1690
221,0,1700
221,0,1710
222,0,1720
222,0,1730
222,0,1740
223,0,1750
223,0,1760
223,0,1770
224,0,1780
224,0,1790
224,0,1800
225,0,1810
225,0,1820
225,0,1830
226,0,1840
226,0,1850
226,0,1860
227,0,1870
227,0,1880
227,0,1890
227,0,1900
228,0,1910
228,0,1920
228,0,1930
229,0,1940
229,0,1950
229,0,1960
230,0,1970
230,0,1980
230,0,1990
231,0,2000
231,0,2010
231,0,2020
231,0,2030
232,0,2040
232,0,2050
232,0,2060
233,0,2070
233,0,2080
233,0,2090
233,0,2100
234,0,2110
234,0,2120
234,0,2130
235,0,2140
235,0,2150
235,0,2160
236,0,2170
236,0,2180
236,0,2190
236,0,2200
237,0,2210
237,0,2220
237,0,2230
238,0,2240
238,0,2250
238,0,2260
239,0,2270
239,0,2280
239,0,2290
239,0,2300
240,0,2310
240,0,2320
240,0,2330
241,0,2340
241,0,2350
241,0,2360
241,0,2370
242,0,2380
242,0,2390
242,0,2400
243,0,2410
243,0,2420
243,0,2430
244,0,2440
244,0,2450
244,0,2460
244,0,2470
245,0,2480
245,0,2490
245,0,2500
246,0,2510
246,0,2520
246,0,2530
246,0,2540
247,0,2550
247,0,2560
247,0,2570
248,0,2580
248,0,2590
248,0,2600
249,0,2610
249,0,2620
249,0,2630
249,0,2640
250,0,2650
250,0,2660
250,0,2670
251,0,2680
251,0,2690
251,0,2700
252,0,2710
252,0,2720
252,0,2730
252,0,2740
253,0,2750
253,0,2760
253,0,2770
254,0,2780
254,0,2790
254,0,2800
255,0,2810
255,0,2820
255,0,2830
256,0,2840
256,0,2850
256,0,2860
257,0,2870
257,0,2880
257,0,2890
